,subID,onset,target_child_name,target_child_age,meanF0,stdevF0,minF0,maxF0,Language,Contingency
4687,030311,Braunwald.wav,1251238.0,030311,98.21759893654507,6.121178633985849,90.74970421473907,109.93739664936774,English,Non-contingent
4688,010819,Braunwald.wav,524158.0,010819,365.620594168197,30.721177697400673,300.1857809019043,433.12046983906527,English,Non-contingent
4689,020223,Braunwald.wav,278874.0,020223,225.36278612633618,47.7799280891542,157.26705284858622,359.57705020747375,English,Non-contingent
4690,040311b,Braunwald.wav,677266.0,040311b,212.53223631191082,67.9792086683907,66.9612573050051,501.08086501643095,English,Non-contingent
4691,010720,Braunwald.wav,158802.0,010720,222.8478746561811,1.947532653370169,218.62659206446568,225.11084545953398,English,Non-contingent
4692,040307a,Braunwald.wav,950832.0,040307a,156.52916307806393,33.854728525936984,86.02526628420097,209.59178632892053,English,Non-contingent
4693,010819,Braunwald.wav,1000245.0,010819,252.46407467640233,39.57023782170567,172.95531622891235,336.5902641781719,English,Non-contingent
4694,030528b,Braunwald.wav,287890.0,030528b,238.92161134656922,76.52004153840075,113.32085742260877,540.8222006671082,English,Non-contingent
4695,030324,Braunwald.wav,555819.0,030324,235.64838115039475,62.55184146463379,83.43161531540144,336.4554483200215,English,Non-contingent
4696,011020,Braunwald.wav,1066670.0,011020,229.57246163235175,36.11111979497538,80.31583349464441,298.46534347469765,English,Non-contingent
4697,030018,Braunwald.wav,70490.0,030018,180.48565833519476,41.78214714516854,100.32200819608371,210.7848493375598,English,Non-contingent
4698,010906,Braunwald.wav,424244.0,010906,225.62928855257258,10.779450851254502,210.80209830759853,247.85796823063856,English,Non-contingent
4699,041000,Braunwald.wav,6025324.0,041000,178.841557743635,55.93562055597848,106.65335035523387,239.42336868258258,English,Non-contingent
4700,020300b,Braunwald.wav,760088.0,020300b,225.89406406510867,140.9816263371977,89.74871046054021,587.312989286382,English,Non-contingent
4701,040718c,Braunwald.wav,715770.0,040718c,225.97220519183335,79.1246482653092,82.54080505144047,386.68011737555787,English,Non-contingent
4702,020203,Braunwald.wav,460801.0,020203,197.34425496321816,67.9337250756104,82.07630382690945,391.8819404014279,English,Non-contingent
4703,030125b,Braunwald.wav,375342.0,030125b,276.3068170315553,59.368997149726326,184.38715423535484,410.7549409830307,English,Non-contingent
4704,010513,Braunwald.wav,559573.0,010513,269.4073661229091,69.0798290012542,168.2896193363603,381.97895367935394,English,Non-contingent
4705,011113,Braunwald.wav,671999.0,011113,232.5811787843648,55.18347616423881,80.30177818364886,302.0696614688297,English,Non-contingent
4706,011109,Braunwald.wav,1186638.0,011109,274.94049859813833,44.64635488263168,170.04882913681618,366.60912936647384,English,Non-contingent
4707,030128,Braunwald.wav,1586039.0,030128,246.1371076037881,72.9988901452324,104.65115752674099,362.93168701429556,English,Non-contingent
4708,020203,Braunwald.wav,528226.0,020203,239.7984086958219,106.59182757811914,74.79984533184194,490.7717665837103,English,Non-contingent
4709,011125,Braunwald.wav,118343.0,011125,157.13454858795066,47.59891904721559,80.86390073796183,288.578963170187,English,Non-contingent
4710,010707,Braunwald.wav,362430.0,010707,200.62283497032956,30.167298660271495,111.1706849459789,227.3173775452276,English,Non-contingent
4711,020300a,Braunwald.wav,849435.0,020300a,214.38805540197265,50.002159175123545,117.24880645012448,357.93873078993977,English,Non-contingent
4712,011113,Braunwald.wav,402505.0,011113,244.92277458515832,78.08812412584943,107.04207837420095,433.36586545356187,English,Non-contingent
