transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,directedness,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id
643,17802.87,17803.524,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17805.398,17805.818,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17812.52,17813.348,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17816.926,17817.094,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17817.798,17818,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17902.214,17902.62,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17903.928,17904.126,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17909.67,17909.882,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17910.498,17910.82,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17912.222,17912.365,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17916.166,17916.398,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17921.11,17921.232,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17923.078,17923.792,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,20473.68,20473.824,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,20481.612,20481.724,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,20629.348,20629.818,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,20654.864,20655.449,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,20657.446,20657.724,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23508,23508.3,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23522.944,23523.092,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23527.628,23528.066,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23543.446,23543.994,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23545.778,23546.38,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23547.15,23547.606,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23550.37,23550.618,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23556.212,23556.476,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23557.222,23557.352,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23558.076,23558.476,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23559.39,23559.492,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23560.238,23560.64,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,23566.264,23566.42,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26150.37,26150.804,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26154.328,26154.474,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26175.792,26176.866,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26181.452,26181.576,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26184.238,26184.32,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26188.704,26188.9,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26204.512,26204.918,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26205.75,26206.36,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26207.276,26207.632,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26208.56,26209.074,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26209.74,26210.486,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26538.61,26539.778,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26576.762,26577.238,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26598.384,26598.932,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26612.082,26612.474,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26613.124,26614.128,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26623.332,26623.6,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26630.404,26630.833,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26714.523,26715.556,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26736.922,26737.284,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,26741.016,26741.172,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
